Mean of PCD bin 0,Sigma of PCD bin 0,Prob of PCD bin 0,Peak of PCD bin 0,Mean of PCD bin 1,Sigma of PCD bin 1,Prob of PCD bin 1,Peak of PCD bin 1,Mean of PCD bin 2,Sigma of PCD bin 2,Prob of PCD bin 2,Peak of PCD bin 2,Mean of PCD bin 3,Sigma of PCD bin 3,Prob of PCD bin 3,Peak of PCD bin 3,Mean of PCD bin 4,Sigma of PCD bin 4,Prob of PCD bin 4,Peak of PCD bin 4,Mean of PCD bin 5,Sigma of PCD bin 5,Prob of PCD bin 5,Peak of PCD bin 5,Mean of PCD bin 6,Sigma of PCD bin 6,Prob of PCD bin 6,Peak of PCD bin 6,Mean of PCD bin 7,Sigma of PCD bin 7,Prob of PCD bin 7,Peak of PCD bin 7,Mean of PCD bin 8,Sigma of PCD bin 8,Prob of PCD bin 8,Peak of PCD bin 8,Mean of PCD bin 9,Sigma of PCD bin 9,Prob of PCD bin 9,Peak of PCD bin 9,Mean of PCD bin 10,Sigma of PCD bin 10,Prob of PCD bin 10,Peak of PCD bin 10,Mean of PCD bin 10,Sigma of PCD bin 11,Prob of PCD bin 11,Peak of PCD bin 11,Raga Class
116,32,0.0549909256,295.13194,220,66,0.0696914701,278.756039,286,18,0.0246823956,295.13194,302,8,0.1422867514,312.799583,282,77,0.2399274047,331.242472,271,102,0.0606170599,345.412942,104,61,0.0606170599,368.775273,300,114,0.0050816697,392.169802,238,127,0.066061706,416.676715,132,61,0.1691470054,440.369459,252,130,0.1346642468,458.783925,229,37,0.0068965517,247.865487,0
121,28,0.0839857651,295.242565,237,57,0.1224199288,278.730006,286,18,0.0241992883,295.242565,302,9,0.1238434164,312.811624,290,62,0.1939501779,331.313922,288,89,0.0430604982,345.36019,122,80,0.0341637011,368.711514,252,109,0.0081850534,392.143899,257,129,0.0537366548,416.793927,132,57,0.2419928826,442.248645,263,131,0.1181494662,458.759841,241,3,0.0085409253,247.244511,0
111,32.5,0.1251795977,295.336889,219,64,0.1813936782,278.729662,269,49,0.0334051724,295.336889,286,47,0.1138649425,312.876714,273,73,0.0966235632,323.115951,135,93,0.0211925287,337.314079,94,21,0.0585488506,185.980486,147,46,0.0064655172,195.180568,116,36,0.0880028736,208.676195,121,37,0.2801724138,221.200184,168,56,0.0585488506,232.849753,180,60,0.0158045977,248.296145,0
93,34,0.0913799482,295.270744,174,61,0.1206067333,278.103701,263,55,0.0277469478,295.270744,252,71,0.1157972623,312.436461,173,93,0.0517943026,331.470424,267,109,0.068072512,351.068476,102,52,0.0714021458,370.012668,181,127,0.0147983722,394.090533,134,82,0.1838697743,412.172773,107,10,0.2230854606,220.681579,115,18,0.0573436922,231.665496,137,41,0.0196078431,248.116169,0
96,35,0.0613910575,295.339784,181,64,0.0599716111,278.064754,253,62,0.0262597587,295.339784,232,75,0.1103619588,312.860069,187,100,0.1355571327,331.409232,312,68,0.0539389638,351.059821,112,72,0.0333569908,369.909143,190,135,0.0120652945,394.112987,152,98,0.1128459901,412.15865,106,5,0.3626685593,220.676166,120,27,0.0344215756,234.047559,158,56,0.0149041874,248.165899,0
103,35,0.0623616236,295.264752,209,67,0.0656826568,278.543141,245,66,0.0258302583,295.264752,261,68,0.1125461255,312.2042,202,101,0.1490774908,331.456687,290,80,0.0221402214,346.553423,117,75,0.0236162362,367.730634,277,116,0.0092250923,393.342097,253,105,0.0487084871,417.232671,133,60,0.426199262,441.717274,273,114,0.0656826568,466.55609,277,112,0.0121771218,492.127449,0
103,34.5,0.0562901398,295.074072,194,67,0.0800906687,278.515978,250,62,0.0204004533,295.074072,237,75,0.1303362297,312.891945,236,86,0.1990933132,331.443844,296,89,0.0532678504,349.605185,98,46,0.069890442,367.791076,204,128,0.0154892331,393.402589,212,111,0.0691348697,417.335509,154,73,0.2542500944,441.721412,250,123,0.0748016623,466.492234,222,130,0.0151114469,492.195457,0
95,34,0.0566071429,294.983402,173,60,0.075,278.259113,236,69,0.0210714286,294.983402,239,76,0.1339285714,312.85907,239,81,0.1775,331.464247,228,118,0.0821428571,349.631217,105,60,0.0585714286,367.081787,141,83,0.0203571429,388.684926,124,44,0.1135714286,394.601865,125,63,0.2117857143,422.754144,131,41,0.0596428571,232.242037,148,51,0.0189285714,247.965985,0
93,32.5,0.0397160399,294.850129,171,59,0.0487336915,276.239815,207,72,0.0145817345,294.850129,202,83,0.1135840368,312.842896,128,86,0.0997697621,331.426125,177,106,0.0713737529,346.874856,129,89,0.0283960092,372.098301,128,71,0.0272448196,388.558615,131,70,0.1861089793,408.878204,119,54,0.3012279355,422.73481,131,41,0.0660015349,232.28981,158,56,0.0149654643,247.573258,0
116,29.5,0.1442667574,295.318655,231,59,0.2235454236,278.562066,287,4,0.0248383804,295.318655,304,5,0.0581830555,312.863689,311,31,0.0374276965,320.483675,86,2,0.0013610071,87.779535,136,46,0.0193943518,185.578905,192,2,0.0122490643,196.556271,201,11,0.0595440626,208.640275,128,43,0.4668254508,220.991326,222,17,0.0387887036,234.225776,220,45,0.0119088125,248.017119,0
86,29.5,0.0830802603,276.008106,172,59,0.1409978308,276.008106,141,2,0.0073752711,147.136902,141,25,0.0915401302,155.556384,89,25,0.0954446855,165.755852,178,83,0.020824295,341.620083,90,0,0.0403470716,92.944294,96,1,0.0173535792,98.536839,150,71,0.2234273319,408.880464,130,44,0.2928416486,221.052536,136,45,0.0368763557,229.649542,148,50,0.0095444685,246.779521,0
95,32.5,0.0842081241,295.257357,185,64,0.1355545413,277.73618,195,69,0.0114103149,295.257357,172,70,0.2542218165,312.775988,162,62,0.1086261981,322.230895,176,76,0.0182565039,348.285089,112,57,0.0251026928,360.705747,148,47,0.0091282519,196.826965,166,48,0.1355545413,207.891051,140,49,0.2332268371,221.175917,141,48,0.0337745322,234.036096,170,59,0.0077590141,246.730045,0
93,33,0.0786944333,295.302888,180,64,0.1037244694,278.705119,218,71,0.013215859,295.302888,169,71,0.227072487,312.14034,160,46,0.1942330797,329.696171,196,80,0.0320384461,345.9207,162,65,0.013215859,359.817121,152,46,0.0336403684,197.091256,144,50,0.0696836203,208.817282,123,39,0.2010412495,220.684874,136,46,0.0484581498,234.069594,184,59,0.0084100921,248.122709,0
